16.12032211	21.39917695	5	5.85	2.64	42.8
16.12032211	21.39917695	10	7.3	4.17	39.2
16.12032211	21.39917695	15	11.08	7.65	37.2
16.12032211	21.39917695	20	14.67	11.47	41.2
16.12032211	21.39917695	25	19.36	15.48	46.3
19.94266653	26.50205761	5	5.71	2.56	45.3
19.94266653	26.50205761	10	4.77	3.48	45.3
19.94266653	26.50205761	15	6.1	4.71	43.4
19.94266653	26.50205761	20	7.73	5.94	43.3
19.94266653	26.50205761	25	12.6	11.14	45
24.76214428	32.83950617	5	6.53	3.45	44.8
24.76214428	32.83950617	10	6.83	5.82	43.4
24.76214428	32.83950617	15	8.35	7.2	40.2
24.76214428	32.83950617	20	14.12	10.88	42.9
24.76214428	32.83950617	25	16.65	13.96	44.4
21.93693319	29.09465021	5	3.26	4.64	43.8
21.93693319	29.09465021	10	3.45	4.85	42.3
21.93693319	29.09465021	15	21.53	11.47	45.3
21.93693319	29.09465021	20	24.48	14.01	46.1
21.93693319	29.09465021	25	18.84	14.38	46.6
13.46129991	17.77777778	5	3.76	2.26	44.3
13.46129991	17.77777778	10	3	2.93	43.8
13.46129991	17.77777778	15	8.97	4.98	45.5
13.46129991	17.77777778	20	16.4	9.78	47
13.46129991	17.77777778	25	13	10.22	46.5
16.95126655	18.60082305	5	2.48	2.49	42.8
16.95126655	18.60082305	10	2.78	3.53	41.9
16.95126655	18.60082305	15	4.15	4.26	41.9
16.95126655	18.60082305	20	11.04	8.35	46.1
16.95126655	18.60082305	25	15.48	11.82	46.8
20.93979986	22.34567901	5	4.69	3.23	43.2
20.93979986	22.34567901	10	4.79	4.39	44
20.93979986	22.34567901	15	6.36	5.33	44.3
20.93979986	22.34567901	20	13.83	10.55	45.3
20.93979986	22.34567901	25	17.3	13.48	46.7
22.93406651	24.19753086	5	4.76	3.28	44.1
22.93406651	24.19753086	10	4.84	4.49	43.7
22.93406651	24.19753086	15	6.34	5.87	43.4
22.93406651	24.19753086	20	11	9.18	45.2
22.93406651	24.19753086	25	18.22	14.91	46.6
23.43263318	25.96707819	5	4.61	3.5	43.2
23.43263318	25.96707819	10	5.25	4.73	43.4
23.43263318	25.96707819	15	7.5	6.46	43.6
23.43263318	25.96707819	20	17.46	12.63	46.3
23.43263318	25.96707819	25	20.83	15.93	47
24.76214428	27.36625514	5	4.56	3.61	43.1
24.76214428	27.36625514	10	4.79	5.02	43.1
24.76214428	27.36625514	15	7.43	6.13	44.2
24.76214428	27.36625514	20	18.93	13.52	46.3
24.76214428	27.36625514	25	21.76	16.81	47
26.92259982	28.64197531	5	5.26	3.85	43.3
26.92259982	28.64197531	10	5.01	5.24	43.1
26.92259982	28.64197531	15	9.43	6.47	43.9
26.92259982	28.64197531	20	17.29	13.18	45.6
26.92259982	28.64197531	25	22.16	17.9	46.5
28.08592203	28.68312757	5	4.62	3.69	43.2
28.08592203	28.68312757	10	5.19	5.28	41.6
28.08592203	28.68312757	15	5.36	6.28	43.4
28.08592203	28.68312757	20	10.18	10.34	44.3
28.08592203	28.68312757	25	19.19	16.29	45.9
29.58162202	29.42386831	5	4.59	4.3	43.3
29.58162202	29.42386831	10	5.3	5.53	43.4
29.58162202	29.42386831	15	6.15	6.54	42.9
29.58162202	29.42386831	20	13.74	11.17	44.7
29.58162202	29.42386831	25	20.24	16.75	45.9
30.74494424	31.06995885	5	5.13	4.54	43.1
30.74494424	31.06995885	10	5.13	5.85	41.4
30.74494424	31.06995885	15	6.33	6.96	42.4
30.74494424	31.06995885	20	10.93	10.86	43.5
30.74494424	31.06995885	25	21.91	18.43	46.5
31.74207756	32.26337449	5	5.21	4.79	43.3
31.74207756	32.26337449	10	5.03	6.07	41.6
31.74207756	32.26337449	15	6.56	7.02	41.5
31.74207756	32.26337449	20	16.84	13.05	44.6
31.74207756	32.26337449	25	22.31	18.16	46.3
34.06872199	34.40329218	5	4.83	4.84	42.2
34.06872199	34.40329218	10	4.87	6.57	40.6
34.06872199	34.40329218	15	6.25	7.35	40.8
34.06872199	34.40329218	20	8.46	8.56	41.7
34.06872199	34.40329218	25	23.62	11.66	46.1
